alice 0.19-1
libdate-calc-xs-perl 6.3-1build1
libdate-convert-perl 0.16-3
libdate-hijri-perl 0.02-1
libdate-iso8601-perl 0.004-1
libdate-jd-perl 0.005-1
libdate-leapyear-perl 1.72-1
libdate-manip-perl 6.42-1
libdate-pcalc-perl 6.1-2build1
libdate-simple-perl 3.03.03-1build3
libdatetime-astro-sunrise-perl 0.01.01-3
libdatetime-calendar-discordian-perl 1.0-1
libdatetime-event-cron-perl 0.08-1
libdatetime-event-ical-perl 0.11-1
libdatetime-event-recurrence-perl 0.16-1
libdatetime-event-sunrise-perl 0.0503-1
libdatetime-format-builder-perl 0.8100-1
libdatetime-format-dateparse-perl 0.05-1
libdatetime-format-db2-perl 0.05-2
libdatetime-format-dbi-perl 0.041-1
libdatetime-format-duration-perl 1.03a-1
libdatetime-format-epoch-perl 0.13-1
libdatetime-format-flexible-perl 0.25-1
libdatetime-format-http-perl 0.40-1
libdatetime-format-ical-perl 0.09-1
libdatetime-format-iso8601-perl 0.08-1
libdatetime-format-mail-perl 0.3001-2
libdatetime-format-mysql-perl 0.04-3
libdatetime-format-natural-perl 1.02-1
libdatetime-format-oracle-perl 0.06-1
libdatetime-format-pg-perl 0.16009-1
libdatetime-format-sqlite-perl 0.11-1
libdatetime-format-strptime-perl 1.5400-1
libdatetime-format-w3cdtf-perl 0.06-1
libdatetime-format-xsd-perl 0.2-1
libdatetime-locale-perl 1:0.45-2
libdatetime-perl 2:1.06-1
libdatetime-set-perl 0.33-1
libdatetime-timezone-perl 1:1.63-1+2013h
libdatetime-timezone-systemv-perl 0.009-1
libdatetime-timezone-tzfile-perl 0.010-1
libdatetimex-easy-perl 0.089-1
libdb-file-lock-perl 0.05-3
libdbd-anydata-perl 0.05-3
libdbd-csv-perl 0.4100-1
libdbd-excel-perl 0.06-6
libdbd-firebird-perl 1.15-2
libdbd-ldap-perl 0.20-1
libdbd-mock-perl 1.45-1
libdbd-mysql-perl 4.025-1
libdbd-odbc-perl 1.45-1
libdbd-oracle-perl 1.45-1
libdbd-pg-perl 2.19.3-2
libdbd-sqlite2-perl 2:0.36-1build1
libdbd-sqlite3-perl 1.40-3
libdbd-sybase-perl 1.14-1build1
libdbd-xbase-perl 1:1.05-1
libdbi-perl 1.630-1
libdbicx-testdatabase-perl 0.05-1
libdbix-abstract-perl 1.040-1
libdbix-class-candy-perl 0.002104-1
